Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Menura Dolage,"Colombo, Sri Lanka",A Peaceful Sightseeing Experience at Victoria Dam,5,Friends,"We stopped at the Adikaramgama Victoria Dam View Point which is a great place for some sightseeing and photo-taking with a great view of the Dam. It isn't difficult to get to, and all you have to do is head down a paved road after exiting the Mahaweli Raja Mawatha at the Victoria Access Gate. There is no parking at the viewpoint, and you are just expected to park at the end of the road, without passing the barriers. The viewpoint is wheelchair accessible, well maintained, and clean. The ambiance is peaceful and calm with it rarely being crowded.","March 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Himaru78,"Colombo, Sri Lanka",Well worth detour,5,Missing,Excellent place to visit. The officer incharge explained the construction and history of tue dam and the Mahaweli project. A must see for school children,"September 16, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Mathankumar Devakaran,"Colombo, Sri Lanka",Stunning View of the Dam !,5,Friends,The View from the observation center is stunning and the entrance to the observation area is free of charge. I recommend people visit during the rainy season to see the spill gates opened. we were so lucky to see 2 spill gates open during the time we were there.,"January 3, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Ahmed A,Male,Amazing view,5,Friends,Its a very nice location with an amazing view from the view point. As per the staff there is only 2 dam of this type. The view was amazing  when crossing over the dam to another side of the dam.,"December 31, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Nethmi,"Embilipitiya, Sri Lanka",victoria dam,4,Missing,this is  a wonderfall loaction. with an amazing view. get the more knowlegde in the dam  a conrribution .,"January 18, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,kelum,"Kandy District, Sri Lanka",an experience with a difference,4,Missing,"It's not just the dam.. It's more to do with the road trip of over 5kms through typical mountain village setting and foliage along the route. But make sure to plan your journey well before 4 pm as the dam entrance closes by that time and more importantly the elephants would reach the road by dusk. The tuk ride to the dam would cost around 400 or little more but the experience is well worth it along the 6 km length. A walk to the nearby memorial site where the last king of Kandy was captured by the agents of the British at Bomure too  gives a chance to have a first hand feel of  terraced paddy fields. Some great opportunities for photography too. Overall, both these visits could be handled  within a space of two hours at very much less cost. Dam may spill only during Nov /Dec .","November 25, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Shanaka Ratnayake,"Colombo, Sri Lanka",Victoria reservoir Sri Lanka,5,Business,Biggest #reservoir in #Sri Lanka. #Victoria dam. A place every school kid should visit during their study tours. The view point gives you a nice panaromic sight. View Point is open everyday other than government Holidays. Travel from Kandy Digana route to come to the view point.,"April 16, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,exploreslk,"Colombo, Sri Lanka",Largest Dam in Sri Lanka,4,Missing,"This is a wonderful location with an amazing view. The only reason I gave it 4 stars is, visitors can't go right on to the dam without a speccial permission. There are two observation points on both sides though. But, it is not as good as observing on the dam itself.","January 10, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Severine WRP,"Tangalle, Sri Lanka",CLOSED,1,Missing,"We went to visit it on 30th July 2020. We were stopped by army. They informed the observation center is closed due to Covid19. No opening date. We were not able to see the dam, only a small portion of the lake. The road is nice with lake view points. So disappointing, political meetings with load of people are allowed but not an outdoor site with nobody!?!?!?!? Other touristic sites are open!?!","August 1, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g13313630-d13141520-Reviews-Victoria_Dam-Teldeniya_Kandy_District_Central_Province.html,Victoria Dam,4.1,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/b6/d7/c1/the-view-is-as-heavenly.jpg?w=700&h=400&s=1,Hisham H,Sri Lanka,Educational,3,Missing,Nice piece of History... a bit of a uphill walk of about 200 meters. Good scenic view. About a 1.5 hour drive from Kandy city.,"March 9, 2020",0.0,0.0
