Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,katiasalvi,"Milan, Italy",City park,4,Family,"City park kept well enough and pleasant for a walk. Inside there are some food and toy stalls, memorials and rides for children.","November 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Kamille66,"Perpignan, France",Must-see hotels in Colombo,5,Family,"The park is beautiful, wooded we saw squirrels, crows horses. (One was tied with the rope to the hit and that we did not appreciate). There is a playground for children as well as glaciers (very good ice). Ideal for picnic because shaded, people are adorable. I saw that some had paid the entrance it is not our case we saw nothing paying.","August 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Sabrina Gabriel Honest Views,Seychelles,A family-friendly park brimming with activities for everyone to enjoy.,3,Couples,"Viharamahadevi Park, previously called Victoria Park, stands as Colombo’s oldest and largest public park, providing a tranquil retreat right in the city centre. Situated directly opposite the delightful colonial-era Town Hall and adjacent to the intriguing National Museum, this location serves as a lively green sanctuary for all to appreciate.  If you're in search of a serene getaway, a fun-filled family day, or a picturesque location for your photography, Viharamahadevi Park presents a delightful mix of natural charm and cultural significance right in the centre of Colombo. The park presents an array of activities, featuring horse riding, an enjoyable mini train ride, and a well-appointed play area for the little ones. The walking paths invite you to enjoy a leisurely stroll, and the exercise area provides an excellent opportunity for adults to maintain their fitness. The park boasts lush greenery and a serene atmosphere, creating the perfect setting for relaxation while the children have their fun. This destination is impeccably maintained and provides a variety of activities, ensuring it's an essential stop for families seeking outdoor enjoyment and a chance to unwind. This park features a stunning massive golden Buddha statue that truly stands out.","June 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,PBPG,"Yorkshire, UK",Good Park,5,Couples,"Vihara Maha Devi Park is quite a large park somewhat dominated by the Buddha statue at the White House end.  Large ponds with water lilies, and many birds behind the statue.  There were also people showing snakes and monkeys . You can’t walk up to the statue in your shoes","April 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Melisa Travels,"Colombo, Sri Lanka",relax,5,Couples,"Viharamahadevi Park – A Green Oasis in Colombo Viharamahadevi Park, the largest and oldest park in Colombo, is a beautiful escape from the city's hustle and bustle. Located near the iconic Town Hall, this lush green space is perfect for nature lovers, families, and anyone looking for a relaxing outdoor experience. Highlights: ✅ Scenic Beauty – The park boasts well-maintained gardens, towering trees, and colorful flower beds that create a peaceful atmosphere. ✅ Relaxing Environment – It’s a great spot for a morning jog, an evening stroll, or simply unwinding under the shade. ✅ Play Area for Kids – Families with children will love the dedicated play area with swings, slides, and other fun activities. ✅ Historical & Cultural Significance – The park is named after Queen Viharamahadevi, the mother of King Dutugemunu, adding historical value to its charm. ✅ Golden Buddha Statue – A stunning golden statue of Buddha sits prominently within the park, attracting visitors and spiritual seekers alike. Things to Keep in Mind: ❌ Can be crowded during weekends and public holidays. ❌ Some areas may need better maintenance. ❌ Be mindful of street vendors and occasional beggars near the entrance","April 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Travel Snappy,Sri Lanka,Perfect for an evening walk.,5,Family,"As the largest and oldest park in Colombo, it offers a peaceful retreat with lush greenery, beautifully maintained gardens, and a variety of trees that provide ample shade. The park is named after Queen Viharamahadevi, a revered figure in Sri Lankan history. One of the highlights of the park is its massive golden Buddha statue, which adds a spiritual touch to the serene surroundings. The park also features a children’s play area, making it an excellent spot for families. The well-paved walking paths are ideal for joggers and those looking to enjoy a leisurely stroll.","March 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Shyam Mishra,"Kolkata (Calcutta), India",Good,5,Family,"Huge park in middle of Colombo, green and peaceful. I believe it is like lungs of Colombo or like central park in NewYork.","February 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Prashantha K,"Jaffna, Sri Lanka",Good time with the kids and fairly clean. Lots of activities,5,Family,It's good relief from urban colombo. Lots of activities for the kids and adults. Also nice big shady trees and well maintained gardens,"January 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Alina gt,"Paris, France",must visit with your kids,5,Family,"Viharamahadevi Park in Colombo is a fantastic spot for a family day out, especially with kids. The park offers a variety of activities, including horse riding, a fun mini train ride, and a well-equipped play area for younger children. The walking paths are perfect for a leisurely stroll, while the exercise area is great for adults to stay active. The park's lush greenery and tranquil atmosphere make it an ideal place to relax while the kids enjoy themselves. It's well-maintained and offers something for everyone, making it a must-visit for families looking for outdoor fun and relaxation.","January 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6106425-Reviews-Viharamahadevi_Park-Colombo_Western_Province.html,Viharamahadevi Park,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=700&h=400&s=1,Jason S,"Melbourne, Australia",Love these types of parks in cities,5,Solo,"Great green space in the middle of the city, this park over a large area has a bit for everyone. Very well maintained, with statues, monuments, benches, entertaining space it ticks all boxes. With the facilities and the design of park it’s for locals and tourists alike, in the park is a large lake and you can hire paddle boats etc to go on water, fun for the kids.","December 12, 2024",0.0,0.0
