Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Ruk G,"Manama, Bahrain",Relaxation denied,2,Couples,Lovely beach beautiful waves. The only downside was being harassed by locals re tour trips and Tuk Tuk rides. Even to the point where a local came into the sea to talk to us. Because of this we stopped using the beach. Which was a shame as we would have liked to have spent more time there.,"February 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Elena M,"Moscow, Russia",Great surf school for beginners,5,Friends,"I went to a surf school on this beach. An excellent instructor for beginners, explains everything right away, finds an approach to adults and children. At the same time, it will be a lesson, not just riding the waves, and then you can practice on your own 😊","March 23, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Svetlana N,6 contributions,"Great country, great people",5,Missing,"Great beach, good entrance to the ocean. There are waves in the ocean, you need to be careful. There are no side currents, we swam calmly","February 25, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Andrea P,3 contributions,Lovely Beach,5,Missing,This is a very quiet and peaceful beach and endless lovely walks.  Swimming is lovely and highly recommend you visit.  Lots of hotels along the beach but most have their own pools.,"March 17, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Samith maduranga,"Gampaha, Sri Lanka",One of the beach you can make best experience,5,Friends,"One of the beach can give you the best experience. This is another beautiful beach in Sri Lanka, which attracts a lot of people. This is one of the must-visit destinations to make your evening an enjoyable experience.q","January 18, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,R H,"Lesbos, Greece",Like a film set but rough seas and sadly lots of rubbish.,4,Missing,"Very peaceful as only locals are there and it is a huge length. It is incredibly beautiful however the water is way to rough to swim in with big strong waves and quickly becoming deep. In addition sadly there is a reasonable amount of rubbish all along the beach. i am not sure if it is washed in or locally dropped however it is way too much and it is unsightly. The big picture though is very beautiful with the local fishing boats etc.,","April 26, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Lakshman,4 contributions,Superb,5,Friends,"Delicious food Excellent service Beautiful location Frindly staff Keep it up,invited many more guset..have excellent vacation thanks for everything.","October 5, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Vachintha Piyadasa,"Colombo, Sri Lanka",Stunning,5,Missing,"This is one of the main attractions of the coastal town that stretches continuously for a long distance. It is quite popular among both local and foreign tourists alike due to the bright, sunny skies, great views of the sunset, and the golden shores. There are plenty of restaurants, hotels and other types of accommodations by the beach.","August 2, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,Jacky R,"England, Arkansas",Stunning and next to janirest,4,Friends,Lovely villas in peacefull setting and a lovely pool. Villas are well equipped and owners are really lovely and helpfull .,"June 4, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html,Wadduwa Beach,4.1,110,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f1/25/08/photo0jpg.jpg?w=700&h=400&s=1,13debster,"London, United Kingdom",Empty beach,4,Couples,We stayed on Wadduwa beach. The beach is long and empty most of the time plenty of space and definitely not crowded with tourists. The waves are great fun but can get a little rough in the afternoon. I watched the fisherman go out in their boat and drop a massive net in the sea and pull in their catch. Everyone comes to help. We also sat on the beach and watched the sunset which was amazing.,"January 15, 2020",0.0,0.0
