Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany","A real alternative to the other parks, but beware: elephant attacks keep happening here",4,Solo,"A really scenic park with a number of smaller elephant herds. However, attacks by the grey giants are really commonplace here, especially a cow likes to target the jeeps. With a knowledgeable jeep driver, however, this is harmless. Emphasis is on knowledgeable!!! You are not here for this, as in Minneriya/Eco or Kaudulla surrounded by dozens of other jeeps. But not for children and the faint of heart","September 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,pipiou4,"Mordelles, France",A cocoon,4,Couples,A green setting with significant biodiversity. The animals seem peaceful and the presence of many babies proves it. Guard guides are essential to make you discover the park and in permanent connection to allow you to see as many animals as possible.,"August 31, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,saskia,"Best, The Netherlands",Fantastic,5,Missing,"A beautiful park! So much better than the other parks where there are far too many jeeps and the elephants cannot leave. It took a while but very many elephants can see, special birds and beautiful nature","August 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,Rémi,"Lyon, France",Beautiful,5,Missing,"Accompanied by our guide this 4WD safari allowed us, in respect of animals I find, to contemplate multiple elephants, from afar, up close, which was particularly magical. Few tourists, many locals.","July 14, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,Daydream55336396612,2 contributions,Flora yes fauna no,3,Friends,Very beautiful landscape but unfortunately very few animals seen some elephants but very wild more than in other parks,"September 13, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,Gabriel D,6 contributions,Just need a driver for this Tour.,1,Solo,You don’t really a tour guide for this booking.  Just a driver if you’re coming from Kandy.  The view is amazing and not that far.  Get a Tuk Tuk motor cart to reach the top.,"August 29, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,Tai S,"Ratmalana, Sri Lanka",Wasgamuwa the land of elephant watching,5,Friends,A good friend of mine called me for a trip to wasgamuwa.. was amazing! I was highly reluctant to go as I never been to wasgamuwa however I wanted to try and see... check the place out... it was a nice place they had booked near the park... we got to see elephants and bears and other animals... this park has no leopards... maybe 1 or 2 not sure didn't see but mainly ppl come for birding and elephants! We had an awesome cook the place we stayed... we got the ingredients and they made the food...  we stayed in a bungalow sort of which was open to the outside ... I highly recommend a portable mosquito net (this is to keep out not only the mosy but other insects that come at night when sleeping) that can be folded and taken on trips you can get them from arpico super store... Also each time before you goto sleep please lift the bed mattresses and check underneath for any insects also get some mosquito repellant as well... :D,"October 18, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,neil j,"Colombo, Sri Lanka",One of the best place for Safari.,5,Missing,"One of the best places to see elephants but mostly can be seen after about 3.30 pm. we went in August and no other animals except deer at one place. Anyhow, the river bath is sometimes we enjoyed as it is safe and scenery.  We went for a full day trip and the trackers had to clear roads and hardly any elephants in the morning but you can enjoy endless jungle flora.","August 15, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,katie111111111,"Preston, United Kingdom",Amazing,5,Couples,"Amazing Safari if you want a less touristy place to visit! We visited after reading how busy ayala can get. We had a whole jeep to ourselves so was able to swap sides depending on where the  animals were. We only saw one other jeep whilst on our safari so pretty much had the park to ourselves! We saw well over 100 elephants in the wild and a few REALLY close, including baby elephants too. We saw other animals such as water buffalo, deer, crocodile, aguana, peacocks, wild boar and many different birds. We didn't see any leopards but we mainly wanted to see elephants, which we definitely did!! Great half day doing the safari!!","April 1, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1022182-Reviews-Wasgamuwa_National_Park-Polonnaruwa_North_Central_Province.html,Wasgamuwa National Park,4.3,82,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=700&h=400&s=1,BathRover,"Bath, United Kingdom",Wild elephant encounters,5,Missing,"Saw several wild elephants in different groups and places, even had a mock charge from one! Also many peacocks and some deer.","February 27, 2022",0.0,0.0
