Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Jet13050931617,2 contributions,Top 25 in the world,5,Family,Lives up to its billing as a top 25 hotel in the world (Conde Nast 2025)!  The staff is so warm and welcoming.  The grounds are beautiful.  The food is delicious.  Management was beyond accommodating when we arrived late due to a cancelled flight.  Highly recommend to all!,"December 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Peter E,1 contribution,Loud,1,Couples,"The beach is quite ok, the street next to it and the city are extremely noisy and unfriendly, if then the loudspeakers of the faiths between 4 and 5 o'clock in the morning still sound gruesome chants Sri Lanka has not the slightest appeal here as e.g. in Galle. You hardly escape the noise and smell even during the day","December 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Pathum C Srilal,"Horana, Sri Lanka",Weligama beach,5,Business,"The optimal time to visit Weligama Beach is during the dry season, from November to April, when the weather is sunny, the seas are calm and clear, and conditions are ideal for water activities like surfing and swimming. I can provide you with information on some highly-rated surf schools in the area, or perhaps suggestions for nearby day trips like whale watching or visiting the historic Galle Fort.","December 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Екатерина Щ,4 contributions,About surfing,5,Friends,"A really cool place to learn how to surf. We took 7 lessons at Mysurfcamp surf school with Russian instructors. The guys are very attentive, told a lot of information and already in the 4th class managed to get online, we were delighted! We'll come again this year, but we'll already be taking classes on reef spots)","October 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,RaNa,"Bengaluru, India",Best beach !,5,Family,"Clean, pristine beach for relax. Swim and surf. Relatively less crowd that other beaches and best thing is cleanliness","September 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Lakshan Ceylon Tours,"Kandy, Sri Lanka","Weligama Beach on Sri Lanka's southern coast is a vibrant, golden-sand bay famous for its beginner-friendly surfing.",5,Family,"Weligama Beach on Sri Lanka's southern coast is a vibrant, golden-sand bay famous for its beginner-friendly surfing, relaxed atmosphere, and picturesque scenery. Known as ""Sandy Village"" in the local dialect, it's an ideal spot for those learning to surf and for travelers seeking a laid-back beach vacation.","September 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Carl M,"Berlin, Germany",Good view and calm place,5,Solo,"Weligama is famous for its coastline. Weligama in fact means ""sandy village"". A two kilometre long shallow sandy beach makes it the perfect location for surfing, snorkelling and coral watching.","July 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,Arevcho,"St. Petersburg, Russia",Veligama - perfect for surfing,5,Friends,"Weligam is actually a surfer, and that's where they went. Beautiful waves, gentle, long entrance. Clean water. I remember in Bali the first time I went into the water in Kut, wading through all the rubbish in the water before the waves formed. And here's the cleanest water, with a comfortable sandy bottom, and a little bit of sand clouding towards the shore, but not a single litter, equipped with surf school beds. Surf schools are located along the entire length of the beach, which first hold introductory theoretical classes, later warm-ups and then, accompanied by a coach, launch into the ocean) Well, it's obviously not suitable for swimming. Not because you can't, but because the long entrance to the waves is for surfing.","June 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,nadia_izzy,"Colombo, Sri Lanka",Nothing beats our Sri Lankan beaches,5,Friends,Weligama has everything for everyone. From surfing to foodies to just relaxing on-the beach - it’s one of our absolute favourites with plenty of things to do. Nothing beats this,"May 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html,"Weligama BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.0,234,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=700&h=400&s=1,MADU TOURS & TAXI SRILANKA,"Yala National Park, Sri Lanka",Beach,5,Solo,Waligamabay is located in south coast .its good for surfing ....and relexing mind . Also can buying fresh fish in tha market .,"May 7, 2025",0.0,0.0
