Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Passenger06950319352,1 contribution,Non-whale dolphin viewing tour,1,Couples,"Very expensive to see 4 dolphins, a waste of time and money, I do not advise wasting time on this long excursion, which is soporific","December 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,ftokane10,"Bristol, UK",Eagle eye whale watching mirrissa,5,Couples,Great trip with eagle eye. Well run offered breakfast and snacks and we saw whales! The crew were really organised and motivated. Good boat company to go with not as crowded as other boats we saw.,"September 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Drew P,"Brisbane, Australia","No whales, far too many boats chasing anything with a fin.",2,Family,"No whales, far too many boats chasing anything with a fin. I felt uncomfortable with it all and it was clear the dolphins were not enjoying the experience. With that many boats out there no whale will stick around, most certainly with a calf. Crew were good and professional. Sri Lankan's as always are hospitable as a people and lovely. An unsustainable industry.","April 20, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Trip787427,26 contributions,Disappointing,3,Family,Unlikely to see whales unfortunately. Too many operators and too commercial. There hasnt been a blue whale sighting for months. We didnt see any on our trip.,"April 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Corbetta T,"Milan, Italy",WONDERFUL ADVICE TO EVERYONE TO SEE THIS SHOW,5,Couples,"Good morning dear readers, First of all I have to thank so much the captain of the boat for what he did for me and my wife and all the staff present of the really lovely people ... There was everything eat drink and a friendliness 'never seen .. At first you could not find whales or dolphins but then with their experience they took us to a place where at first we saw dolphins passing very close to the boat ... and then those big impressive whales, it looked like a movie ... these big whales that we filmed for about 15 20 minutes for what they did ,,,, nice to try . It remains for me to thank you again on behalf of myself and my wife for everything See you soon Tziano and Dilki","March 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Frederic V,22 contributions,"Uninteresting, to flee",1,Couples,3 hours on a brilliant boat that vibrates everywhere to see nothing except a school of little dolphin that tried to avoid the x boats crowded with tourists.,"March 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Baba J,Italy,TOO MANY BOATS,2,Couples,"Unfortunately, it is true that the sighting can not be guaranteed but in any case whenever there was a hint of a possible whale sighting on the spot, 6/7 boats gathered which already made sighting impossible. I think it is worth spending a little more but make the trip with a small boat with someone more experienced and less effect “sightseeing”....","February 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Margarida Medeiros,"Lisbon, Portugal",Managing expectations on Mirissa Whale Whatching,2,Family,"This tour was on our plans since the beggining, we read that Mirissa was so rich in marine life and that delight us. Just for context,  we're from Portugal and have already seen whales in our country. We were expecting a similar experience and maybe that is the problem ... This review is just to manage expectations and for you to know what to expect from this tour or any other whale whatching tour in Mirissa (private or in group). They don't know were the whales are, there is no tracking system. They talk to the fishermen and the boat will leave for the tour case the fishermen spotted whales or not. In our case, they didn't spot any whales so they took us to the place in the sea where they were normally spotted. They found one fin whale and the next 1h30/2h was spent following that whale around that came up to breath every 10 minutes.... and that's it. The whale stays up for like 3 seconds so if you are lucky and looking at the right spot at the right time then you could see a whale for 3 seconds. Every time the whale came up they said that the next time would be the Last and after we would move to another spot to look for more. They said that sentence at least five times... The group tours and the private boats are all in the same place and they just follow each other. So, yes we did spot one whale and two sea turtles. If that is good enough for you then you should definately come. The tour staff is very nice, they will give you a sandwich,  slice of cake and some fruit (for included breakfast and snacks). We left the harbour around 6h50 and arrived around 9h45.","February 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Subhs23,"New Delhi, India",Hit or miss,3,Family,"Chances of seeing a whale are less but you definitely get to see dolphins. But sea sickness is a major issue. If you have motion sickness, then avoid this trip. The boats go around the same area. The only difference between the different boats is what and how they serve the snacks. So choose a non exorbitant one.","January 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1407334-d2203020-Reviews-Whale_Watching_Mirissa-Mirissa_Southern_Province.html,Whale Watching Mirissa,3.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/18/01/77/sperm-whale-fluke.jpg?w=1200&h=900&s=1,Barbara Z,1 contribution,"NOT WHALE, JUST DOLPHIN WATCHING",1,Family,"It was not worth it. We didn't see any whales, just dolphins. Many companies offer the same service. When one ship spots the dolphins, it starts to rush towards them, followed by all the others. the poor animals get scared away in this way, and you yourself have a bad feeling about all this approach.","January 11, 2025",0.0,0.0
