Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,MMA Family,"Munich, Germany",Family Hike,5,Family,Easy hike with breathtaking views. Recommended for families with young children. Visa/MasterCard accepted at the entry gate.,"April 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,ML-Tirol,"Tirol, Austria",Nice Sunday walk,4,Couples,"For us it was a nice walk just under 2 hours. We were the first and went the round left. Worlds End, well. Nice view, thank God we were there alone... Baker's case nice to watch too. We were already met by the masses...","April 20, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Misstravel,"Irsch, Germany",Overpriced admission for a circular route,3,Couples,"Certainly a great way, but I don't find the price justified. Especially being up at 06:30 is just not worth it. The path is beautiful, the view is also, but simply not worth the money.","September 27, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Rizy19,"Auckland Central, New Zealand",Friends and family visit to World's End and the Horton Plains,3,Friends,"I visited the Worlds End on the Horton Plains after many years with friends and family from overseas. We enjoyed the track and the variety of flora and fauna along the way. The walking track has been well designed to capture this. However,  compared to the past the walking track has been extended and took us over 6 hours to complete which was only abour 4 hours in the past. The extension now includes the mini worlds end , the great worlds end and Bakers Fall. Visitors need to prepare for this which we did not do and therefore it was challenging. Cost for foreigners is unfair, cost about Rs 30K for 3 people and a vehicle. For locals it is free. Access road to the start of Worlds End from Nuwaraeliya is pretty scary, very windy, narrow, in poor condition and remote. This is over an hour of driving.","September 4, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Scenic Lanka Personal Tour Drivers,"Colombo, Sri Lanka",A Guide’s Insight: The Breathtaking Beauty of World’s End in Sri Lanka,5,Business,"World’s End in Sri Lanka is an extraordinary destination, and guiding visitors to this breathtaking viewpoint is always a thrilling experience. Located in the Horton Plains National Park, World’s End offers one of the most stunning panoramas in the country, and witnessing it firsthand never fails to impress. As a guide, I find that the journey to World’s End is as captivating as the destination itself. The trek through Horton Plains, with its rolling grasslands and diverse flora and fauna, sets the stage for the dramatic view that awaits at the end. The crisp, cool air and the lush landscape create an invigorating experience, making the hike to World’s End truly rewarding. The highlight of the visit is, of course, the sheer drop at World’s End. Standing on the precipice, visitors are treated to an awe-inspiring view of the valley below, with a seemingly endless expanse stretching out to the horizon. On clear days, the view is nothing short of spectacular, offering a glimpse of the far-off lowlands and a sense of being on the edge of the world. One of the most rewarding aspects of guiding at World’s End is sharing the rich natural history and significance of Horton Plains with visitors. The park is home to a range of endemic species and unique ecosystems, and explaining the ecological importance of the area adds depth to the experience. From the diverse birdlife to the rare flora, the park’s natural beauty is a key part of the adventure. The trek to World’s End is also a fantastic opportunity for visitors to appreciate the importance of conservation and the delicate balance of Sri Lanka’s highland ecosystems. Engaging with travelers about the park’s efforts to preserve its unique environment helps foster a greater appreciation for the natural world. For anyone seeking a memorable adventure in Sri Lanka, World’s End is a must-visit destination. Its dramatic scenery, combined with the rich natural and cultural context, makes it a standout experience. Join us on a trek to World’s End and witness the breathtaking beauty of Sri Lanka’s highlands like never before.","August 10, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Martyn B,"Melbourne, Australia",Not to be missed - really!,5,Couples,"Don't miss it. For so many reasons, apart from the expense of the entry to the National Park, this will be one of the highlight experiences of your trip to Sri Lanka. From the check for plastics by rangers before you walk, the wildlife, the scenery, the all encompassing experiences of this longish walk are all unforgettable. Just do it!","May 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Glen I,"Bunbury, Australia",World's End trek.,3,Friends,"This was one of the more anticipated things on my list for the tour that I was on in Sri Lanka. Make no mistake, the complete walk is quite a trek. World's End is about 4 kms from the car park and there are a numbver of rocks to walk over but it is not too bad. Take shoes with a good tread because there are a lot of very small loose round stones that are easy to slide on. I would say that it would be about a 3 out of 5 fitness trek. You can either go back the way you came or continue on to see Bakers Falls and then continue to the car park where you start. The round trip is about 9.5 kms. It will take the average person about 2.5 to 3 hours to complete but that also depends on your fitness level, how many stops you do to take photos, catch your breath or rest your legs. Is it worth the trek to see World's End? In my opinion it isn't however the sense of achievement is well worth it and I am very pleased that I did do it. There is only one World's End on the planet so you could look at it as a bucket list thing to do. The reason I said it wasn't is because it is a 900 meter drop from where you are at the sign to the bottom but you cannot see the distance. There is no viewing platform and this was why I was so dissapointed. The view of the hills and surrounding area is amazing so your trek is not wasted. As you will see from my photos, there is a slab of concrete on the ground saying World's End and then the next photo is just to the left of the sign. There are no barriers so you have to be very aware of that. Bakers Falls is beautiful. There had not been a lot of rain there lately so apparently there was not as much water flow as usual.","April 2, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Kevin G,8 contributions,Horton Plains,4,Couples,Amazing trail that needs to be done at sunrise to get the best views. We also saw a leopard on the way up to the park,"January 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Baggya tours,"Colombo, Sri Lanka",Worlds end,5,Business,"Safety and fun, trust and responsibility we carry with you. This is one of the joyous moments of our journey.","December 12, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Selwyn R,"Wimborne Minster, United Kingdom","Hard walk in the cloud Forrest to World's end, little world's end and Baker falls",4,Couples,Walk through the grasslands and cloud Forrest to the top of a massive cliff. Views down valley to sea are weather dependant. It was well wet fir our circular walk of 9km. Mainly rain and in the cloud which is common. We heard monkeys and saw spotted deer. Some bird life but limited. Walking is difficult. Uneven oath climbs and falls. Not for the unfit. One toilet on way round and in car park.,"January 7, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Magnificent Sri Lanka,"Kandy, Sri Lanka",,5,Missing,"The world’s end is a must-visit trail in Sri Lanka to enjoy the best sceneries of the hill country. The weather is unpredictable in this area and views can be covered with mist and fog at any moment. We visited the World’s end in morning, as early as we could to capture stunning photographs with panoramic views. We enjoyed the best weather conditions and lovely panoramic views until faraway areas.","July 29, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Kai Wah,Malaysia,,5,Couples,"One of the hot spot within Horton Plains National Park (UNESCO World Heritage) with entrance fee of LKR3,850 per person. Breathtaking views and it is advisable to reach early before 9am in order to enjoy the mountainous view. Warm clothing, packed breakfast, good walking shoes and drinking water are recommended. Great hiking place for 4-5 hours. A must for nature lovers!","March 20, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,baany,"Colombo, Sri Lanka",,5,Friends,This is unbelievable location over tough walikn path leading to a peak and you are almost among the clouds ..sorroundings are stunning and its a place to visit in sri lanka. You can view city about 30 -40 miles away from this location if the visibility is clear. ITS much better tgan 0 point in India .,"December 12, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Topman4,"Whitley Bay, United Kingdom",,5,Missing,My partner and I visited Worlds End last week. It’s worth the long drive from Ella to get to. Worlds End waterfalls are impressive. Be careful when taking photos. It can be slippery. When we went it wasn’t too busy but as the season goes on it’s going to be very busy. Wear good comfy walking shoes. Set off early before it gets too hot. Don’t overdo it but enjoy. Catch the sunrise if you can.,"November 18, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,GClife,"Gold Coast, Australia",,3,Couples,"We did the 9km circuit, if you enjoy bush walking this is a nice experience The track is rocky and wet, some of it is through a creek bed So wear appropriate shoes Join the chaos and go early arrive at the park at 6am with the rest of the crowd But you do avoid the heat of the day and the crowds disperse They are very strict on what you can bring into the park - no plastic bags, chewing gum etc The park is in pristine condition A variety of plant life, with jungles and plains No wildlife spotted and the view was okay Very hazy","November 14, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,JohanOfSweden,Sweden,,3,Missing,"It was a pleasant walk through the national park. We were even fortunate to have perfect weather all day. Not too crowded despite peak.season (new years eve). The view from world's end and little world's end is rather lovely, but I wouldn't call it spectacular. On the contrary, I'd argue that anyone who's done some hiking in the mountains anywhere would probably have experienced far more spectacular scenery than this. And the hike through the grasslands afterwards isn't exactly fantastic either. Yes, it's nice, serene and quiet, but the views are nothing special. We saw birds, heard some monkeys and we saw a couple of deer at the parking lot... A long day. Can't say it was time (and money, cause it's pretty expensive) well spent.","September 12, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,Niluka S,"Colombo, Sri Lanka",,5,Missing,"it is one of the coldest places in Sri Lanka, Beautifull environment with fresh air, you have to walk about 7 k.m to finish the journey","August 16, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g17551724-d4579301-Reviews-World_s_End-Pattipola_Central_Province.html,World's End,4.2,167,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=700&h=400&s=1,301lisa33,"Coventry, United Kingdom",,4,Friends,This is the point where the plateau falls dramatically to lower ground.  It is quite dramatic and affords decent views - but is overhyped and very busy,"April 11, 2019",0.0,0.0
