Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Nugadhenitours,"Düsseldorf, Germany",View sensational! Insider tip for dizziness-free!,5,Solo,"A must have! Must see! But walk all the way up, not only the remains of the palace are worth seeing, but especially the view from the very top, where an old brick stupa still stands. But watch out for the numerous monkeys, they can get cheeky. The steps up to the palace are super steep and not for people who get dizzy quickly or who have trouble running, you really have to go up across, they are so narrow sometimes. Palace and stairs unique and the view priceless","October 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Lanka Tours by Lanka Tour Driver,Sri Lanka,A great adventure,5,Couples,"Hiking up Yapahuwa Rock Fortress was such a great experience! 🏞️ The climb itself was enjoyable, not too difficult, but adventurous enough to make it exciting. The ancient stone steps and ruins along the way give a glimpse into Sri Lanka’s rich history, which made the hike even more special. Once at the top, the view was absolutely superb 🌄  endless greenery, villages, and a peaceful atmosphere that makes you feel like you have stepped back in time. It is the perfect mix of history, culture, and nature. Highly recommend Yapahuwa for anyone who loves hiking, exploring, and breathtaking views! 🙌","September 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,David F,"Saltash, United Kingdom",An out of the way treat,4,Missing,An out of the way treat for the history and culture loving traveller. We made the mistake of going in the middle of the day when it was hot! The stairs are quite steep and not friendly to anyone with any sort of mobility issue (my wife and I only made it up the first two staircases) but all the locals visiting at the same time were incredibly friendly and one family even asked for a photo with my wife. A must see is the little Buddhist temple hidden around the corner from the entrance. Beautiful frescoes and such a cool tranquil feel to it.,"July 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,roamas,"Sydney, Australia",A hidden gem,5,Couples,A beautiful rock fortress on the way to Anuradhapura. 20 000LKR entry and we were the only tourists there (and somewhat a novelty for the locals who wanted photos taken with us). The steps are very steep but the walk up was worth it… 360 view of the surrounding area. Highly recommend going off the beaten path to visit!,"June 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Jessica Brosig,49 contributions,Short trip,5,Couples,The view ist Amazing. You only need 30min on the top. Use normal shoes- no flipflop. On the entry you become a little bottle of water.,"March 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Schibba,"Ediger-Eller, Germany",Klein Sygiria,5,Solo,"I had the mountain to myself! No one to see far and wide. The climb is exhausting, just because of the heat. But it's worth it. I would argue the smaller sigirya rock.","January 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Yvonne S,15 contributions,Quiet and very nice view,4,Solo,Very nice view . At the beginning steep stairs but feasible . Put on good shoes. Lots of monkeys on site . Few tourists,"October 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Eshan semasinghe,"Yapahuwa, Sri Lanka",Tourists coming to Sri Lanka can name it as a must visit kingdom.,5,Missing,"Yapahuwa is a kingdom of great historical value ruled by several kings. The kingdom of Yapahuwa, which has rarely caught the eye of foreign tourists, consists of a staircase that is more than 30 meters high made of very special stone carvings and stone pillars. When you climb the stairs to the top of the hill, you can see the ruins of the royal palace.","September 16, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,margaret g,"Melbourne, Australia","Wonderful deserted rock fortress, with beautiful carved stairs, and a panoramic view.",5,Missing,"A great alternative to crowded Sigiriya, as no-one else was there in the morning.   My sister and I climbed to the top of this historic fortress, where the Tooth spent a few years in the 13th. century, and is in the centre of extensive ancient temple ruins.  Panoramic views from the flat top.","July 13, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2216639-d3568843-Reviews-Yapahuwa_Rock_Fortress-Yapahuwa_North_Western_Province.html,Yapahuwa Rock Fortress,4.6,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/f1/38/the-yapahuwa-kingdom.jpg?w=200&h=-1&s=1,Natasha d,20 contributions,Yapahuwa Rock Fortress,5,Missing,The Fortress is spectacular. We enjoyed the climb which had steep steps up-to a point. There is also a side path which is easier but then you would miss climbing the ancient steps . At 3.30 pm it was shady and made it easier. The cave temple also has 800 year old paintings. The surrounding garden also has wall relics to see.,"April 18, 2023",0.0,0.0
