Destination,Image,Issue
Nine Arches Bridge,https://www.ellabudgettaxi.com/images/blog/1/blog/2.jpg,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
Adam’s Peak (Sri Pada),https://www.ceylonexpeditions.com/medias/destination_places/big/110/sri-pada-adam-s-peak-sri-lanka.jpg,Status 406
Alagalla Mountain Range,https://cdn.lakpura.com/images/LK94009970-01-E.JPG,Status 403
Aluvihara Rock Cave Temple,https://cdn.lakpura.com/images/LK94008281-01-E.JPG,Status 403
Anawilundawa Wetland,https://www.lovesrilanka.org/wp-content/uploads/2020/05/LSL_B2_Chilaw-Lagoonw_800x520.jpg,Status 403
Archaeological Museum,https://cdn.lakpura.com/images/LK94008450-03-E.JPG,Status 403
Arisimale Beach,https://cdn.lakpura.com/images/LK94009961-06-E.JPG,Status 403
Bambarakanda Falls,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bambarakanda_Waterfall.jpg,Status 403
Beruwala Beach,https://touristboard.wp.gov.lk/images/tour/BeruwalaBeach.jpg,Status 406
Bomburu Ella Waterfall,https://cdn.lakpura.com/images/LK94008486-01-E.JPG,Status 403
Bopath Ella (Bopath Falls),https://cdn.lakpura.com/images/LK94008787-04-E.JPG,Status 403
Cargills Square – Jaffna,https://cdn.lakpura.com/images/LK94009931-01-E.JPG,Status 403
Demodara Loop,https://upload.wikimedia.org/wikipedia/commons/2/21/Train_approaches_Demodara_railway_station.jpg,Status 403
Dondra Lighthouse,https://www.lovesrilanka.org/wp-content/uploads/2020/06/LSL_B2_Matara-Fort_800x520.jpg,Status 403
Dutch Hospital Shopping Precinct,,Empty URL
Dutch Hospital Shopping Precinct,https://www.thingstodosrilanka.com/wp-content/uploads/2025/07/dutch-hospital-shopping-precinct-colombo-2.jpg,Status 302
Dutch Reformed Church,https://cdn.lakpura.com/images/LK94007484-05-E.JPG,Status 403
Elephant Pass,https://cdn.lakpura.com/images/LK94009907-01-E.JPG,Status 403
Ella Railway Station,https://cdn.lakpura.com/images/LK9428168D-01-E.JPG,Status 403
Ella Railway Station,https://cdn.lakpura.com/images/LK9428168D-02-E.JPG,Status 403
Gal Oya National Park,https://upload.wikimedia.org/wikipedia/commons/3/33/Gal_Oya_National_Park_in_Sri_Lanka_during_mid_monsoon_period.jpg,Status 403
Galboda Falls,https://cdn.lakpura.com/images/LK947BA490-03-E.JPG,Status 403
Galboda Falls,https://cdn.lakpura.com/images/LK947BA490-04-E.JPG,Status 403
Girihadu Seya,https://cdn.lakpura.com/images/LK94009666-04-E.JPG,Status 403
Hakgala Botanical Garden,https://cdn.lakpura.com/images/LK94009878-01-E.JPG,Status 403
Hikkaduwa Beach,https://www.lovesrilanka.org/wp-content/uploads/2020/06/LSL_B2_Hikkaduwa-Beach_1920x700.jpg,Status 403
Hiriketiya Beach,https://fernandotravels.com.au/_next/image?url=https%3A%2F%2Fcms.fernandotravels.com.au%2Fblog-point%2Fuploads%2F6749494f35c34_Hiriketiya_Beach.webp,Status 400
Hummanaya Blow Hole,https://www.lovesrilanka.org/wp-content/uploads/2020/06/LSL_B2_Hummanaya-Blow-Hole_800x1000.jpg,Status 403
Independence Memorial Hall,https://upload.wikimedia.org/wikipedia/commons/d/d7/Independence_Commemoration_Hall.jpg,Status 403
