Column1,Column2,Column3,Column4,Column5
Destination,Category,Subcategory,Review Counts,Links
Unawatuna Beach,Beaches & Coastal Destinations,South Coast,188,https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html
Mirissa Beach,Beaches & Coastal Destinations,South Coast,3157,https://www.tripadvisor.com/Attraction_Review-g1407334-d6104104-Reviews-Mirissa_Beach-Mirissa_Southern_Province.html
Weligama Beach,Beaches & Coastal Destinations,South Coast,231,https://www.tripadvisor.com/Attraction_Review-g612380-d13335957-Reviews-Weligama_Beach-Weligama_Matara_Southern_Province.html
Hikkaduwa Beach,Beaches & Coastal Destinations,South Coast,2425,https://www.tripadvisor.com/Attraction_Review-g304134-d7034305-Reviews-Hikkaduwa_Beach-Hikkaduwa_Galle_District_Southern_Province.html
Dalawella Beach,Beaches & Coastal Destinations,South Coast,118,https://www.tripadvisor.com/Attraction_Review-g297896-d12639582-Reviews-Dalawella_Beach-Galle_Galle_District_Southern_Province.html
Jungle Beach,Beaches & Coastal Destinations,South Coast,2860,https://www.tripadvisor.com/Attraction_Review-g644047-d3331573-Reviews-Jungle_Beach-Unawatuna_Galle_District_Southern_Province.html
Koggala Beach,Beaches & Coastal Destinations,South Coast,0,
Ahangama Beach,Beaches & Coastal Destinations,South Coast,0,
Matara Beach,Beaches & Coastal Destinations,South Coast,0,
Polhena Beach,Beaches & Coastal Destinations,South Coast,340,https://www.tripadvisor.com/Attraction_Review-g946553-d3137943-Reviews-Polhena_Beach-Matara_Southern_Province.html
Negombo Beach,Beaches & Coastal Destinations,West Coast,2915,https://www.tripadvisor.com/Attraction_Review-g297897-d1655656-Reviews-Negombo_Beach-Negombo_Western_Province.html
Mount Lavinia Beach,Beaches & Coastal Destinations,West Coast,1527,https://www.tripadvisor.com/Attraction_Review-g293962-d554029-Reviews-Mount_Lavinia_Beach-Colombo_Western_Province.html
Kalutara Beach,Beaches & Coastal Destinations,West Coast,740,https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html
Bentota Beach,Beaches & Coastal Destinations,West Coast,2351,https://www.tripadvisor.com/Attraction_Review-g297895-d7029063-Reviews-Bentota_Beach-Bentota_Galle_District_Southern_Province.html
Beruwala Beach,Beaches & Coastal Destinations,West Coast,403,https://www.tripadvisor.com/Attraction_Review-g1189172-d7029062-Reviews-Beruwala_Beach-Beruwala_Western_Province.html
Moragalla Beach,Beaches & Coastal Destinations,West Coast,56,https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html
Wadduwa Beach,Beaches & Coastal Destinations,West Coast,110,https://www.tripadvisor.com/Attraction_Review-g499081-d13294424-Reviews-Wadduwa_Beach-Wadduwa_Western_Province.html
Panadura Beach,Beaches & Coastal Destinations,West Coast,48,https://www.tripadvisor.com/Attraction_Review-g1097569-d7935747-Reviews-Panadura_Beach-Panadura_Western_Province.html
Uswetakeiyawa Beach,Beaches & Coastal Destinations,West Coast,0,
