Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,stephen,"Canberra, Australia","Uncrowded, but fewer animals than its neighbour yala",4,Couples,"Peaceful and uncrowded park.  We were the only jeep in sight for most of the trip. Usual animals: elephants, deer, crocodiles, buffalo, many types of birds.  No leopards.  A more relaxed experience, good if you don’t need a constant parade of wildlife","September 12, 2025"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Linda58essex,"Redbridge, United Kingdom",Great safari,5,Couples,"Outstanding trip. Best ever. Roads are more even than Yala. Best of all we saw two leopards. Had a really good look at them. Also saw two hornbills quite clearly. Several elephants coming quite near. Spotted dear. Birds of prey, painted stalks, bee eaters. Harsha was our guide and he was knowledgeable and patient.","February 10, 2024"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,eraj9,"London, United Kingdom",Elephants galore,5,,untouched and less commercial than the others. can see elephants in thier natural habitats. beautiful secenaries.,"October 19, 2020"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Piotr5,Switzerland,Absolutely great experience,5,Couples,"We went on the safari organized by our hotel (Tranquil Wild) and it was absolutely great experience. We heard stories about overcrowded Yala National Park, where hundreds jeeps packed with tourists try to spot elephants and leopards... We wanted to have it an easy way and we got what we wanted - hundreds of birds, peacocks, several elephants, crocodiles, turtle, eagles...no leopards but we were still really happy! There was only one jeep beside us. Perfect morning. Go there!","March 5, 2020"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Emma M,"Well, United Kingdom",Fabulous safari with excellent guides,5,,We set out at 5am for this trip but it was perfect. Just us in our jeep with a very good careful driver and a friendly and knowledgeable guide. it was peaceful and unhurried. We were in the park for approx 4 hours and only saw one other jeep. We saw a huge array of beautiful animals and birds waking up in the wild with no stress of even being aware of us being there.,"February 9, 2020"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Valiant2,132 contributions,Great park,5,,"We visited this park in the afternoon having been to Yala in the morning, and far preferred it.   It was much less busy, and unlike Yala when we did see elephants, jackals etc we had them to ourselves rather than a scrum with scores of other jeeps arriving. Very enjoyable visit.","February 8, 2020"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Forest Destine,Papua New Guinea,Great information on park,5,Friends,"So here is some information about this park. Very limited on information. Lucky we found some locals at Priyanthanee Hotel where we stayed. I don’t know local language but I can just say the things I had seen. First off, didn’t see any jeeps out front. This place is not commercialized at all. Actually we were the only ones in the whole park, on Sunday. We seen so many animals though. Wow. Incredible time today in the wildlife safria of Tanamalwila, Sir Lanka. Seen today about 100 birds, monkeys of course, elephants, deer, crocs, lizards, many peacocks, foxes and so much more. Will make a video on it soon so stay in touch on my YouTube. Epic! Forest Destine So if coming here I highly recommend finding a hotel to help you or take your time coming here. You might have to question things all day long even before you can find a Jeep, driver and even a ranger as a guide. But we seen so much. It was truly an amazing experience.","January 13, 2020"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Dasuntharanga,"Colombo, Sri Lanka",Lunugamwehera National Park,5,Friends,"Lunugamvehera National Park lies between Yala and Uda Walawe national parks. 184 species of bird have been recorded in the park, mostly forest birds and water birds.Sri Lankan junglefowl, Sri Lanka woodstrike, painted stork, Brahmin kite, grey hornbill and many kinds of Eagles can be seen at the park. It is a home to elephants, spotted and sambar deer, wild buffalo, giant squirrel, palm cat, sloth bear and leopards.","October 6, 2019"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Peter R,"Voorburg, The Netherlands","Birds , leopard and beautiful countryside",4,,"We did an afternoon safari entering at Ruhunu. There are a lot of birds to be seen,  such as Asian Open Bill, Hoopoo and Hornbill, and if you are lucky as we were, you may spot a leopard. Varied and beautiful countryside. No crowds.","August 30, 2019"
https://www.tripadvisor.com/Attraction_Review-g1409052-d7379691-Reviews-Lunugamvehera_National_Park-Tanamalwila_Uva_Province.html,Lunugamvehera National Park,4.4,53,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/59/1c/b2/photo5jpg.jpg?w=700&h=400&s=1,Sara H W,2 contributions,Very good park,5,,It is very good national park.  And it is a new park for safari at Yale jungle.  There no many jeeps.  Only 5 or 6 jeeps are entering to the park every day.  Lots of animals with leopards and birds.,"April 18, 2019"
