Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Vadim,"Murmansk, Russia",The reservoir is 12th century.,4,,"This lake is actually a reservoir created under the reign of King Parakrambahu. His reign was the height of Polonnaruwa, a time of great construction. He is credited with a pathetic phrase: ""No rain drop can sail into the ocean without serving the people."" Logically, the reservoir was named after him - ""the Parakram Sea."" In the 12th century, the reservoir had a huge area of 2,500 hectares and was not quite in the same place as it is today.","November 3, 2025"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Dashers2014,"Cambridge, United Kingdom",Serene and scenic,5,Friends,Beautiful and serene site. Kept very clean. Lovely breeze. Even more beautiful when one learns all about its history. Definitely worth a visit.,"March 19, 2023"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,DipuKV,"Pune, India",Massive,5,,"As you drive around it, you realize how huge it is. Beautiful. Also, a good place for people watching.","January 13, 2020"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Dan L,"Bunbury, Australia",The Sea of King Parakramabahu,5,,"The reservoir was built by King Parakramabahu 1 in an attempt to alleviate water shortages during the dry seasons. There were 5 reservoirs to ease the pressure on the main dam. Thopa Vewa was constructed in 386AD and the King had the other  four reservoirs built and the system expanded with many smaller reservoirs to built to feed the five primary and take away any excess water. It was a complex ancient technology that worked until reconstructed in the 19th century when a structural design error altered the water flows. As a result there are now two lakes the largest consisting of Thopa Vewa, Eramudu Vewa and Dumbuthula Vewa and the smaller Kalahagala Vewa and Bhu Vewa. A very scenic area and we had the good fortune to see a small herd of seven elephants nearby.","November 16, 2019"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Jaliya Samarakoon,"Kandy, Sri Lanka",Polonnaruwa Visit,5,Business,"DescriptionParakrama Samudra is a shallow reservoir, consisting of five separate reservoirs connected by narrow channels in Polonnaruwa, Sri Lanka. The northernmost reservoir is the oldest and referred to as Topa wewa built around 386 AD For more info - www.facebook.com/reisesl","August 6, 2019"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Thikeena,"Colombo, Sri Lanka",giant water tank,5,,"giant water tank in polonnaruwa,fresh breeze,very interesting,high technological knowledge based irrigation system is there,evening boat fishermen are eye catching with sunset view,last week i visited the area,very interesting place at evening and early morning,","May 6, 2019"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Umesha,"Colombo, Sri Lanka",a good place for photography,5,,"me and my family visited the place,we had a driver,guide,and the place was so amazing,fresh breeze,blue water,very attractive,giant water tank like a sea guide explained us that there was a huge irrigation system,and nice history we spent nearly 2 hrs there,and we saw sun set view,great!!","April 11, 2019"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,Prof.K.S.Adiga,18 contributions,"Lake, typically called Samudra",5,,"A very big lake, popularly known as 'samudra' meaning 'sea' is worth visiting. It is providing water for irrigation, power generation, navigation, fishing and lot more activities.","February 8, 2019"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,ShvRm_Traveller,"Goa, India",Man made water body,4,,"The road leading to Polonnaruwa, while it approached the town, is lined by a large water body, which appears quiet soothing and beautiful. The lake is manmade, many centuries ago and the government has taken over its up keep in the recent years. The water body supports many species of birds and animals as well there is a lot of greenery on its banks. The nearest banks are walking distance from the Museum and from where bicycles can be hired for sightseeing. It forms the first spot of a guided tour.","November 25, 2018"
https://www.tripadvisor.com/Attraction_Review-g304140-d7595894-Reviews-Samudra_Parakrama-Polonnaruwa_North_Central_Province.html,Samudra Parakrama,4.3,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ff/c1/86/samudra-parakrama.jpg?w=700&h=400&s=1,lissadenmark,"Denmark, Maine",Prakrama water tank,5,Friends,It's really huge river situated in polonnaruwa.very beautiful Sun rising and Sunset. I hired to bicycle to there.It's was perfect remembered to me,"September 17, 2018"
