Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Traveltales,"Rajagiriya, Sri Lanka",The jewel of Kotmale,5,Couples,"It's the first dam in the Mahaweli project and the second dam from the up stream. Its visible from the main road from Ramboda. If you want to get closer, you can take the Ulapane - Pussellawa Road. There are various ways to get to this road. You can either come from Gampola or Pussellawa/ Tawalantenne side. We started all the way from Ulapane (which was a bit of a detour) since we wanted to see the Fools Bridge, which is visible from the Ulapane bridge. There is also a hanging bridge and then you get to Kotmale bridge. Google map directions are accurate and the road is in good condition. You have to pass the dam which is on the right side of the road, towards Pussellawa side for about 500 meters. Then you come to an observation point. You need to get a ticket which allows you access to a look out point and a tiny museum. Then you can take the same ticket and go back to the dam which will allow you to walk the length of the dam. As soon as you pass the observation deck and go towards Pussellawa, you get a left turn to Mahaweli Maha Seya. On the way to Mahaweli maha seya you also get a right turn to see ""Dehadu Kadulla"". This is supposed to be an entrance gate in the border between Ruhuna and Malaya and the very gate used by Prince Gemunu around 2000 years ago!. It seems to be in perfectly good condition. So I am not sure whether this is the real thing or a replica based on folk lore. Once you pass the Kotmale dam and go towards Pussellawa in the Ulapane Pussallewa road, you get to Ranamune Raja pihilla, another landmark in prince Gamunu's story. This is a beautiful paddy field with ""out of this world"" views and a famed fountain. A little while after, this road meets the Talawakele - Tawalanetenne road. It's best to take that route to get to A5 as the Pussellawa Road in not in good conditon thereafter. Also, while the roads were in perfect conditon, there were not many places to have lunch after Gampola. When we visited the previous time, we went to the Kotmale rest house which was a left turn-off before coming to the dam. There was also a home stay kind of place, right next to Ranamune pihilla, but we couldn't figure out whether they served lunch or not. If you know prince gemunu's story or if you have followed ""Ganga Dinge"" this would be a perfect road trip. Even if that is not the case, this trip does offer lovely views and an added bonus is that it is a rarely travelled road, so you can enjoy its beauty in all its pristine glory .","October 21, 2025"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Nisansala,"Colombo, Sri Lanka",Good experience,5,,Beautiful view. once you buy a ticket you can use the same to watch the reservoir and dam from observation point as well walk on the dam. Further you can see the kotmale dam museum.,"June 1, 2023"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Sachith Ranasinghe,"Colombo, Sri Lanka",Breathtaking view of the Dam,5,,The road through the Dam closes at 6pm. The authorities doesn't entertain tourists hanging around and taking pictures but the walk is well worth it.,"October 9, 2019"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Pirano13,"Styria, Austria",Great monument,5,Couples,Cool and interesting. Especially if you’re staying in the villa which was owned by the minister who had initiated it...,"October 8, 2019"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Nuzraan,"Colombo, Sri Lanka",Closer view of Kotmale Dam,5,,"Fortunate to visit the viewing gallery with family to witness first hand experience. Direct and closer view of the dam and surrounding offer great photo shoot opportunity. School children can learn the history of the dam, including output, processes and the construction milestones.","August 25, 2019"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,ToorakP,"Singapore, Singapore",Well worth the trek,5,,Recommend doing the trek in good daylight. The climb down to the Dam is steep and you need good footwear. Once you get to the Dam the views are breathtaking. You really get to take in nature at its best and  mountain fresh air. You can get a Tuk tuk both ways for LKR 1000 from the entrance to the Pedro Estate Lover’s Leap division.,"December 28, 2018"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Alice P,"Colombo, Sri Lanka",Holida y,5,Friends,Good place to relax and meditate .awesome quiet and hear natures sounds only .stunning scenery and lovely foliage ..a painters dream location .,"October 31, 2018"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,exploreslk,"Colombo, Sri Lanka",Marvelous View,5,Friends,"Kotmale Dam is a really beautiful and memorable place. View of Kotmale Reservoir from the dam is breathtaking. The mountain range behind, adds much more to its beauty. Unlike most of other dams in Sri Lanka, Kotmale Dam is a linear dam, with a length of 600m. Just make sure, you walk along the dam to the other end, to feel the beauty in full. And don't forget to observe Kotmale Mahaweli Maha Seya seen little far from the dam. Kotmale Power Station is the second largest power station is Sri Lanka.","July 17, 2018"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,Sudesh,"Matara, Sri Lanka",Beautiful view out there,4,Friends,"If you get sunny day, better. First you need to get tickets from visiting center, 30 Rupee per head. After you can come to dam Where you can walk. Vehicle allow only for resident","June 25, 2018"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,misskemali,Singapore,Amazing Place,5,,"Set in the beautiful valley of Kotmale, the view is amazing and is a must visit. You can either view the dam from the viewpoint or walk along the dam with a ticket.","May 10, 2018"
https://www.tripadvisor.com/Attraction_Review-g1893246-d5461554-Reviews-Kotmale_Dam-Kotmale_Central_Province.html,Kotmale Dam,4.5,33,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/88/71/kotmale-reservoir-view.jpg?w=700&h=400&s=1,faarazri,"Colombo, Sri Lanka",,5,,you will see a unique and beautiful view. do not forgot take a picture of this place. if you wish you can walk trough the dam but have to get permission from authority.,"October 4, 2017"
